DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1
3734.875,149.904,88.478,9.431,66.961,2.619
3735,152.133,86.759,10.035,67.004,2.627
3735.125,153,85.615,10.512,67.085,2.632
3735.25,152.825,85.028,10.793,67.138,2.629
3735.375,152.046,84.39,10.952,67.107,2.619
3735.5,150.74,83.255,11.096,66.961,2.606
3735.625,149.125,81.589,11.344,66.695,2.591
3735.75,147.87,79.63,11.82,66.327,2.576
3735.875,147.555,77.758,12.48,65.904,2.566
3736,148.093,76.131,13.159,65.488,2.563
3736.125,148.807,74.836,13.631,65.135,2.568
3736.25,149.374,74.06,13.763,64.873,2.577
3736.375,150.026,74.036,13.57,64.687,2.585
3736.5,151.031,75.096,13.142,64.538,2.589
3736.625,151.945,77.168,12.586,64.393,2.592
3736.75,151.998,79.772,11.99,64.233,2.596
3736.875,151.04,82.271,11.416,64.062,2.602
3737,149.782,84.589,10.879,63.899,2.608
3737.125,148.9,87.24,10.328,63.77,2.611
3737.25,148.37,90.39,9.754,63.704,2.613
3737.375,147.682,93.627,9.174,63.716,2.618
3737.5,146.662,96.498,8.592,63.798,2.627
3737.625,145.717,98.668,8.08,63.926,2.636
3737.75,145.373,100.34,7.702,64.08,2.641
3737.875,145.693,101.6,7.545,64.249,2.638
3738,146.614,102.214,7.643,64.434,2.628
3738.125,148.052,101.924,7.955,64.63,2.618
3738.25,149.917,100.75,8.386,64.827,2.617
3738.375,152.226,98.686,8.887,65.017,2.626
3738.5,154.83,95.803,9.433,65.19,2.642
3738.625,157.236,92.4,9.982,65.33,2.655
3738.75,158.735,88.931,10.452,65.417,2.66
3738.875,158.582,85.968,10.77,65.445,2.654
3739,156.75,84.031,10.898,65.423,2.642
3739.125,154.091,83.183,10.878,65.365,2.631
3739.25,151.913,83.191,10.78,65.283,2.626
3739.375,151.147,83.757,10.656,65.182,2.627
